_id,abstract,author_rank,authors,doi,fos,isbn,issn,issue,keywords,lang,n_citation,page_end,page_start,pdf,references,title,url,venue,volume,year,author_id
53e99784b7602d9701f3e161,"360° represents the concerns that are addressed in most of my work and my approach to it: the effect of global high technology on daily life and the environment (for example, daily short-distance flights to avoid enormous wastes of time.",1,"[{""_id"":""53f46946dabfaec09f24b4ed"",""bio"":null,""email"":null,""gid"":""5b86cf1ae1cd8e14a3fc787b"",""name"":""Miguel Palma"",""name_zh"":null,""oid"":""544bd9c245ce266baf189c4f"",""oid_zh"":null,""orcid"":null,""org"":""Miguel Palma Studio"",""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":null}]",10.1145/1665137.1665166,null,,,,"[""global high technology"",""daily short-distance flight"",""enormous waste"",""daily life""]",en,null,39,39,null,null,360°,null,"{""_id"":""5390a74a20f70186a0e8b40b"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""ACM SIGGRAPH ASIA 2009 Art Gallery & Emerging Technologies: Adaptation"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":null}",,2009,53f46946dabfaec09f24b4ed
53e99784b7602d9701f3e162,,1,"[{""_id"":""53f43d95dabfaedf435b63fa"",""bio"":null,""email"":null,""gid"":""5b869031e1cd8e14a34a782f"",""name"":""Maureen Squillace"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":""Fox Studios Australia, Moore Park, New South Wales, Australia"",""org_zh"":null,""orgid"":""5f71b2e41c455f439fe3efd1"",""orgs"":null,""orgs_zh"":null,""sid"":null}]",10.1145/1281740.1281746,null,,,,[],en,0,14,14,null,null,300,"[""http://dx.doi.org/10.1145/1281740.1281746"",""http://doi.acm.org/10.1145/1281740.1281746""]","{""_id"":""5736ae3ad39c4f40a7976010"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""SIGGRAPH Computer Animation Festival"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":10}",,2007,53f43d95dabfaedf435b63fa
53e99784b7602d9701f3f0b9,"We conjecture that 7,373,170,279,850 is the largest integer which cannot be expressed as the sum of four nonnegative integral cubes.",1,"[{""_id"":""53f42c7cdabfaedf43509437"",""bio"":null,""email"":null,""gid"":null,""name"":""Jean-marc Deshouillers"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""134541""},{""_id"":""53f4d04ddabfaeeee2f8199d"",""bio"":null,""email"":null,""gid"":null,""name"":""François Hennecart"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""2189974""},{""_id"":""53f431fedabfaee43ec009a6"",""bio"":null,""email"":null,""gid"":null,""name"":""Bernard Landreau"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""1170774""},{""_id"":""53f46fe4dabfaeee22a770f3"",""bio"":null,""email"":null,""gid"":null,""name"":""I. Gusti Putu Purnaba"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""34129661""}]",10.1090/S0025-5718-99-01116-3,null,null,null,229,[],en,12,439,421,//static.aminer.org/pdf/PDF/001/011/809/.pdf,null,7373170279850,"[""http://dx.doi.org/10.1090/S0025-5718-99-01116-3""]","{""_id"":""555036dd7cea80f954161b91"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Math. Comput."",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",69,2000,53f42c7cdabfaedf43509437
53e99784b7602d9701f3f0b9,"We conjecture that 7,373,170,279,850 is the largest integer which cannot be expressed as the sum of four nonnegative integral cubes.",1,"[{""_id"":""53f42c7cdabfaedf43509437"",""bio"":null,""email"":null,""gid"":null,""name"":""Jean-marc Deshouillers"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""134541""},{""_id"":""53f4d04ddabfaeeee2f8199d"",""bio"":null,""email"":null,""gid"":null,""name"":""François Hennecart"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""2189974""},{""_id"":""53f431fedabfaee43ec009a6"",""bio"":null,""email"":null,""gid"":null,""name"":""Bernard Landreau"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""1170774""},{""_id"":""53f46fe4dabfaeee22a770f3"",""bio"":null,""email"":null,""gid"":null,""name"":""I. Gusti Putu Purnaba"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""34129661""}]",10.1090/S0025-5718-99-01116-3,null,null,null,229,[],en,12,439,421,//static.aminer.org/pdf/PDF/001/011/809/.pdf,null,7373170279850,"[""http://dx.doi.org/10.1090/S0025-5718-99-01116-3""]","{""_id"":""555036dd7cea80f954161b91"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Math. Comput."",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",69,2000,53f4d04ddabfaeeee2f8199d
53e99784b7602d9701f3f0b9,"We conjecture that 7,373,170,279,850 is the largest integer which cannot be expressed as the sum of four nonnegative integral cubes.",1,"[{""_id"":""53f42c7cdabfaedf43509437"",""bio"":null,""email"":null,""gid"":null,""name"":""Jean-marc Deshouillers"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""134541""},{""_id"":""53f4d04ddabfaeeee2f8199d"",""bio"":null,""email"":null,""gid"":null,""name"":""François Hennecart"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""2189974""},{""_id"":""53f431fedabfaee43ec009a6"",""bio"":null,""email"":null,""gid"":null,""name"":""Bernard Landreau"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""1170774""},{""_id"":""53f46fe4dabfaeee22a770f3"",""bio"":null,""email"":null,""gid"":null,""name"":""I. Gusti Putu Purnaba"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""34129661""}]",10.1090/S0025-5718-99-01116-3,null,null,null,229,[],en,12,439,421,//static.aminer.org/pdf/PDF/001/011/809/.pdf,null,7373170279850,"[""http://dx.doi.org/10.1090/S0025-5718-99-01116-3""]","{""_id"":""555036dd7cea80f954161b91"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Math. Comput."",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",69,2000,53f431fedabfaee43ec009a6
53e99784b7602d9701f3f0b9,"We conjecture that 7,373,170,279,850 is the largest integer which cannot be expressed as the sum of four nonnegative integral cubes.",1,"[{""_id"":""53f42c7cdabfaedf43509437"",""bio"":null,""email"":null,""gid"":null,""name"":""Jean-marc Deshouillers"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""134541""},{""_id"":""53f4d04ddabfaeeee2f8199d"",""bio"":null,""email"":null,""gid"":null,""name"":""François Hennecart"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""2189974""},{""_id"":""53f431fedabfaee43ec009a6"",""bio"":null,""email"":null,""gid"":null,""name"":""Bernard Landreau"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""1170774""},{""_id"":""53f46fe4dabfaeee22a770f3"",""bio"":null,""email"":null,""gid"":null,""name"":""I. Gusti Putu Purnaba"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""34129661""}]",10.1090/S0025-5718-99-01116-3,null,null,null,229,[],en,12,439,421,//static.aminer.org/pdf/PDF/001/011/809/.pdf,null,7373170279850,"[""http://dx.doi.org/10.1090/S0025-5718-99-01116-3""]","{""_id"":""555036dd7cea80f954161b91"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Math. Comput."",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",69,2000,53f46fe4dabfaeee22a770f3
53e99784b7602d9701f3f618,,1,"[{""_id"":""54882dc6dabfaed7b5fa35bc"",""bio"":null,""email"":null,""gid"":null,""name"":""George Englebretsen"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":null,""org_zh"":null,""orgid"":null,""orgs"":null,""orgs_zh"":null,""sid"":""3031297""}]",10.1305/ndjfl/1093635155,null,null,null,3,[],en,1,389,382,null,null,Formatives,"[""http://projecteuclid.org/euclid.ndjfl/1093635155""]","{""_id"":""555036db7cea80f9541603e9"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Notre Dame Journal of Formal Logic"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",30,1989,54882dc6dabfaed7b5fa35bc
53e99784b7602d9701f3f627,null,1,"[{""_id"":""5432fa3bdabfaeb54216ff14"",""bio"":null,""email"":null,""gid"":""5b86ac08e1cd8e14a301b56b"",""name"":""Satoshi Kitahara"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":""Sega Enterprises, Ltd., AM R&D Dept. #3, 1-2-12, Haneda, Ohta-ku, Tokyo 144, Japan"",""org_zh"":null,""orgid"":""5f71b4f21c455f439fe4da3b"",""orgs"":null,""orgs_zh"":null,""sid"":null}]",10.1145/259081.259370,null,0-89791-921-1,,,[],en,0,256,256,null,null,Flipbook,"[""http://dx.doi.org/10.1145/259081.259370"",""http://doi.acm.org/10.1145/259081.259370""]","{""_id"":null,""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""SIGGRAPH Visual Proceedings"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":10}",,1997,5432fa3bdabfaeb54216ff14
53e99784b7602d9701f3f628,null,1,"[{""_id"":""53f44ddcdabfaeecd69ca52d"",""bio"":null,""email"":null,""gid"":""5b86ca67e1cd8e14a3da1c19"",""name"":""Jamie DeRuyter"",""name_zh"":null,""oid"":null,""oid_zh"":null,""orcid"":null,""org"":""Computer Animation Department, Ringling School of Art and Design, 2700 North Tamiami Trail, Sarasota, Florida"",""org_zh"":null,""orgid"":""5f71b2c91c455f439fe3e415"",""orgs"":null,""orgs_zh"":null,""sid"":null}]",10.1145/259081.259371,null,0-89791-921-1,,,[],en,0,257,257,null,null,Flux,"[""http://dx.doi.org/10.1145/259081.259371"",""http://doi.acm.org/10.1145/259081.259371""]","{""_id"":null,""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""SIGGRAPH Visual Proceedings"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":10}",,1997,53f44ddcdabfaeecd69ca52d
53e99784b7602d9701f3f64b,,1,"[{""_id"":""560175ee45cedb3395e5a3ca"",""bio"":null,""email"":null,""gid"":""5b86b6c6e1cd8e14a34cc571"",""name"":""Diane Crawford"",""name_zh"":null,""oid"":""544bd93b45ce266baeac531a"",""oid_zh"":null,""orcid"":null,""org"":""Association for Computing Machinery, New York, NY"",""org_zh"":null,""orgid"":""5f71b2811c455f439fe3c58a"",""orgs"":null,""orgs_zh"":null,""sid"":null}]",10.1145/1188913.1188928,null,,,1,[],en,null,12,11,//static.aminer.org/pdf/PDF/000/777/784/forum.pdf,null,Forum,"[""http://doi.acm.org/10.1145/1290958.1290977""]","{""_id"":""555036f57cea80f954169e28"",""issn"":null,""name"":null,""name_d"":null,""name_s"":null,""online_issn"":null,""publisher"":null,""raw"":""Commun. ACM"",""raw_zh"":null,""sid"":null,""src"":null,""t"":null,""type"":0}",50,2007,560175ee45cedb3395e5a3ca
